ID1	TYPE	ID2
MYC	PPI	TIAM1
MYC	REGULATORY	NFKBIA
MYC	REGULATORY	NCOA3
MYC	PPI	RAF1
IGF1R	PPI	PTPN11
IGF1R	PPI	PTPN1
IGF1R	PPI	SOCS1
PTPN11	PPI	ROS1
PTPN11	PPI	SLAMF1
GRB2	PPI	SOCS1
GRB2	PPI	PTPN11
GRB2	PPI	MET
GRB2	PPI	PTPN6
GRB2	PPI	PTPN1
HIF1A	PPI	MYC
NCOA3	PPI	TRIM21
PTPN6	SIGNALING	SOCS1
PTPN6	PPI	ROS1
CBL	PPI	GRB2
CBL	PPI	PTPN11
CBL	PPI	LCK
CBL	PPI	MET
CBL	PPI	IL7R
CBL	PPI	PTPN6
CBL	PPI	IGF1R
LCK	PPI	PTPN6
LCK	PPI	RAF1
CSF2RB	PPI	PTPN6
CSF2RB	PPI	PTPN11
EIF2AK2	PHOSPHORYLATION	RAF1
FAS	PPI	LCK
FAS	PPI	RIPK1
CD44	PPI	TIAM1
CD44	PPI	LCK
BCL2	PPI	CASP3
BCL2	PPI	MYC
BCL2	PPI	RAF1
