ID1	TYPE	ID2
IKBKG	PPI	NFKBIA
IKBKG	PPI	MCM7
IKBKG	PPI	MYC
MYC	REGULATORY	NFKBIA
MYC	PPI	SQSTM1
MYC	PPI	NFE2L2
CCND1	PPI	CDKN1A
MYLK	PPI	SRC
PLCG1	PPI	RASA1
PLCG1	PPI	SHC1
PLCG1	PPI	SRC
PLCG1	METABOLIC	PTEN
IL7R	SIGNALING	STAT5A
CDKN1A	PPI	IKBKG
NFKBIA	GENETIC	RASA1
IRS1	PPI	SHC1
NR4A1	PPI	SRC
FLNA	PPI	SRC
FLNA	PPI	ITGB3
PDGFRB	PPI	SHC1
PDGFRB	PPI	PLCG1
PDGFRB	PPI	SRC
PDGFRB	PPI	RASA1
HRAS	PPI	RASA1
HRAS	PPI	NF1
EGFR	PPI	RASA1
EGFR	PPI	SHC1
EGFR	PPI	SRC
EGFR	PPI	PLCG1
EGFR	PPI	STAT5A
EGFR	PPI	PDGFRB
SHC1	PPI	STAT5A
ITGB3	PPI	PDGFRB
ITGB4	PPI	SHC1
CD44	PPI	EGFR
CD44	PPI	PTPRC
CD44	PPI	SRC
MCM7	PPI	MYC
RASA1	PPI	SRC
