ID1	TYPE	ID2
PLK3	PPI	TP53
CAV1	PPI	PDGFRB
MYC	PPI	TIAM1
MYC	REGULATORY	RALGDS
MYC	PPI	PRKDC
MYC	PPI	SQSTM1
MYC	PPI	RB1
CUL1	PPI	MYC
ERBB2	PPI	ERBB3
ERBB2	PPI	PAK1
ERBB2	PPI	HDAC6
ERBB3	PPI	MDM2
ERBB3	PPI	HDAC6
BRCA2	PPI	TP53
BRCA2	PPI	RPA1
BRCA2	PPI	FLNA
MDM2	PPI	TP53
MDM2	PPI	SFN
MDM2	PPI	PML
MDM2	PPI	RCHY1
MDM2	PPI	RB1
CCND1	PPI	CDKN1A
CCND1	PPI	RFC1
CCND1	PPI	RB1
CCND1	PPI	CUL1
CCND1	PPI	CDKN2A
CCND1	PPI	HDAC3
SFN	PPI	TP53
PAK1	PHOSPHORYLATION	WWP1
PAK1	PHOSPHORYLATION	RPA1
VDR	PPI	ZBTB16
CDKN1A	PPI	CREBBP
CDKN1A	PPI	TP53
CDKN1A	PPI	HDAC6
CDKN1A	PPI	MDM2
CDKN1A	PPI	VDR
HIF1A	PPI	TP53
HIF1A	PPI	MCM7
HIF1A	PPI	MYC
HIF1A	PPI	MDM2
CCNE1	PPI	CDK1
MSH2	PPI	TP53
MSH2	PPI	RFC1
MSH2	PPI	MYC
BUB1	PHOSPHORYLATION	ETF1
BUB1	PHOSPHORYLATION	MDM2
TP53	PPI	VDR
CREBBP	PPI	CTNNB1
CREBBP	PPI	HIF1A
CREBBP	PPI	MYC
CREBBP	PPI	HDAC3
CREBBP	PPI	MSH2
CREBBP	PPI	FOXO3
CREBBP	PPI	VDR
CREBBP	PPI	PML
CREBBP	PPI	TP53
CREBBP	PPI	MDM2
PDGFRB	PPI	RASA1
HDAC3	PPI	ZBTB16
HDAC3	PPI	HIF1A
HDAC3	PPI	PRKDC
HDAC3	PPI	PML
HDAC3	PPI	RB1
HDAC3	PPI	MYC
HDAC6	PPI	ZBTB16
HDAC6	PPI	HIF1A
PRKDC	PPI	TP53
PRKDC	PPI	RPA1
ABL1	PPI	TP53
ABL1	PPI	RAN
ABL1	PPI	PRKDC
ABL1	PPI	RB1
ABL1	PPI	MDM2
PML	PPI	ZBTB16
PML	PPI	TP53
PML	PPI	RB1
HRAS	PPI	RALGDS
HRAS	PPI	TIAM1
HRAS	PPI	RASA1
HRAS	PPI	NF1
NUP107	PHOSPHORYLATION	PRPF4B
NUP107	PHOSPHORYLATION	PAK1
MNAT1	PPI	RB1
MNAT1	PPI	TP53
FOXO3	PPI	VDR
FOXO3	PPI	MYC
CDK1	PPI	ZBTB16
CDK1	PPI	TP53
CDK1	PPI	SFN
CDK1	PPI	CDKN1A
CTNNB1	PPI	HDAC6
CTNNB1	PPI	FOXO3
CTNNB1	PPI	ERBB2
CTNNB1	PPI	CUL1
CDKN2A	PPI	TP53
CDKN2A	PPI	MDM2
RCHY1	PPI	TP53
RB1	PPI	VDR
RB1	PPI	TFDP1
RB1	PPI	RFC1
TFDP1	PPI	TP53
CD44	PPI	TIAM1
CD44	PPI	ERBB2
RFC1	PPI	TP53
MCM7	PPI	MNAT1
MCM7	PPI	RPA1
MCM7	PPI	RB1
MCM7	PPI	MYC
RPA1	PPI	TP53
