node	type
PTGS2	0
PRKCH	0
GHR	0
HSPA4	0
CDK16	-1
PLK3	0
STK11	1
PRPF4B	-1
MEN1	0
IKBKB	-1
AKT1	0
PTK2B	0
IKBKG	0
IKBKE	-1
ROS1	1
PRKCZ	-1
CAV1	-1
PEBP1	0
MAP3K8	-1
MAP3K2	-1
NFE2L2	1
MAP3K1	0
MAP3K6	-1
DCC	1
CBFA2T3	1
THRA	0
GNB2L1	0
SMAD4	0
CDKN2A	1
WWP1	0
MYC	1
KRAS	1
CUL1	0
CUL3	0
ERBB2	0
ERBB3	-1
IGF1R	0
BRCA2	1
SHC1	0
ERBB4	1
SHC3	0
TRIM24	-1
CD22	0
XPA	0
WNK1	-1
EPHA3	1
TRIM21	0
NRG1	0
TPR	1
MDM2	1
SETD2	1
FGFR2	0
UBR5	1
FGFR1	1
PSMC3	0
SOCS1	0
CCND1	1
PARK2	0
PTPN11	0
MYLK	-1
PLCG1	0
KIT	1
SFN	0
PTEN	0
HMGB1	0
RUNX1	0
UBC	0
PAK4	-1
PAK6	-1
CCNH	0
PAK1	-1
PAK2	-1
TSG101	0
BATF	0
VDR	0
RAN	0
NFKBIB	0
RUNX1T1	1
HRAS	0
NFKBIA	0
RASSF5	0
GAPDH	0
HIF1A	0
FRS2	0
CNTN2	0
UBE2L3	0
MLL5	0
CRK	0
GSK3B	0
ADRBK1	0
DAXX	0
RUVBL1	0
LRRK2	-1
STAT5B	0
RASA1	0
CCNE1	1
NEK9	-1
HDAC6	0
TIAM1	0
GRB2	0
JAK3	0
CDC42BPB	-1
CD44	0
MYL9	0
GTF2H1	0
TGFBR2	-1
NR1H3	0
EPHB2	-1
PDLIM5	0
PRKCB	1
BUB1	0
RAD51	0
NCOA3	0
CHUK	0
RNF41	0
MRAS	0
RAG2	0
TEK	-1
SNRP70	0
ARID1A	1
TELO2	0
PTPN1	0
DSE	0
ZEB1	1
PTPN6	-1
KEAP1	1
UBE2I	0
RPS6KA1	-1
LMNB1	0
TP53	1
IRF5	0
GNAS	1
UBE2A	0
PPP5C	0
CBL	0
PQBP1	0
GRK6	-1
AR	0
EIF4EBP1	0
RBCK1	0
CCDC88A	0
FLNA	1
MNAT1	0
LCK	0
CREBBP	1
PDGFRB	-1
HDAC3	0
BAG1	0
STAM	-1
ACP1	0
HDAC7	0
RASGRP3	0
EPHA7	1
ATM	1
RFC1	0
EPHA2	-1
RAP1A	0
PRKDC	0
TRRAP	1
EIF4E	0
TNIK	-1
ATR	1
MAP3K4	0
CD2	0
HCK	-1
ABL1	0
CDC2	0
ARHGEF1	0
RAF1	-1
FLT3	1
NCOR1	1
NCOA2	0
STAT6	0
NCOA1	1
SKP2	0
ZBTB16	0
SIK3	-1
CSF2RB	0
MYH9	1
RPS6KB1	-1
CDC37	0
ETF1	0
MAPK3	-1
CDK11A	-1
MAPK6	-1
PML	0
HNRNPC	0
CDKN1A	0
KDR	1
RANBP2	1
SRC	-1
EPB41L3	-1
SKAP1	0
RALGDS	0
RPS20	0
NUP107	0
GAB2	0
IL7R	1
RXRG	0
PIK3R1	1
MTOR	1
PDGFRA	1
GAB1	0
DUT	0
MAPK8IP3	0
CTNNB1	0
ZNF521	1
NCAM1	0
ALK	1
IRS4	1
WNT2	0
EIF2AK2	-1
IRS1	0
BAD	0
CDK1	-1
STAT5A	0
CDK6	0
CDK7	-1
CDK9	0
PPIE	0
RHEB	0
SLAMF1	0
USP8	0
ITCH	0
PTK6	1
LIMK2	-1
BIRC6	1
MSH2	0
BCL11A	1
FOXO3	0
MAP2K2	-1
MAP2K1	0
CNTNAP2	1
MAP2K7	0
RIPK4	0
MAP2K4	-1
AFAP1	0
SMARCA4	1
RCHY1	0
RIPK1	-1
MAP3K5	-1
NCOR2	1
RAP1GAP	0
AXIN1	0
CAMKK2	-1
MLLT4	0
FAS	0
YWHAQ	0
FYN	-1
RB1	1
MET	1
CAMK2D	-1
MED12	1
TERF1	0
RGS2	0
YWHAB	0
NTRK3	1
NRG2	0
SH3KBP1	0
BRAF	1
PRKCI	-1
YWHAZ	0
ITGB3	0
ITGB4	-1
YWHAG	0
CARD11	1
NR4A1	0
PRKCE	-1
PRKCD	-1
GTF2H4	0
MCM7	0
HIST1H3A	0
PRKCQ	0
BCL10	0
NF1	1
SQSTM1	0
SNW1	0
CASP3	0
ABI2	0
BTRC	0
RPA1	0
TFDP1	0
GRIN2A	1
PTPRC	1
PTPRB	1
EPB41L2	-1
SDHA	1
PDPK1	0
EGFR	1
BCL2	0
